image_name,vuln_id,severity,count,related_vuln,r_count
jenkins:2.60.3,GHSA-r78q-qgx6-64pp,Medium,1,CVE-2020-2104,0
jenkins:2.60.3,GHSA-r2jf-rc5v-vmpv,Medium,1,CVE-2018-1999047,0
jenkins:2.60.3,GHSA-qxp6-27gw-99cj,Medium,1,CVE-2021-21615,0
jenkins:2.60.3,GHSA-qr42-82qj-mw65,Medium,1,CVE-2019-10352,0
jenkins:2.60.3,GHSA-qpg9-83fv-x9ch,Medium,1,CVE-2019-1003050,0
jenkins:2.60.3,GHSA-q6q9-83xw-mp6p,Medium,1,CVE-2019-10402,0
jenkins:2.60.3,GHSA-q4wp-8c99-69pw,Medium,1,CVE-2021-21670,0
jenkins:2.60.3,GHSA-q4cq-r7hg-pxqq,Medium,1,CVE-2018-1999045,0
jenkins:2.60.3,GHSA-pvwx-3jx5-24r2,Medium,1,CVE-2021-21639,0
jenkins:2.60.3,GHSA-pgxv-h967-fw2q,Medium,1,CVE-2018-1999005,0
jenkins:2.60.3,GHSA-p92q-7fhh-mq35,Medium,1,CVE-2022-20612,0
jenkins:2.60.3,GHSA-p8x8-p473-mmmv,Medium,1,CVE-2017-1000400,0
jenkins:2.60.3,GHSA-p265-xr98-3vmr,Medium,1,CVE-2018-1999003,0
jenkins:2.60.3,GHSA-mj7q-cmf3-mg7h,Medium,1,CVE-2021-21611,0
jenkins:2.60.3,GHSA-jpvq-v729-7j2h,Medium,1,CVE-2020-2231,0
jenkins:2.60.3,GHSA-hw55-f8wc-82m6,Medium,1,CVE-2019-10406,0
jenkins:2.60.3,GHSA-hv45-5j9h-7fhg,Medium,1,CVE-2018-1000407,0
jenkins:2.60.3,GHSA-hph9-9vcq-f7gp,Medium,1,CVE-2018-1000862,0
jenkins:2.60.3,GHSA-hg6g-jj7g-x6v2,Medium,1,CVE-2019-10401,0
jenkins:2.60.3,GHSA-h972-cwjv-2v39,Medium,1,CVE-2017-1000398,0
jenkins:2.60.3,GHSA-gpxv-776p-7gc7,Medium,1,CVE-2020-2100,0
jenkins:2.60.3,GHSA-g8pg-qrvm-wgh2,Medium,1,CVE-2020-2161,0
jenkins:2.60.3,GHSA-g78x-xmv8-23xp,Medium,1,CVE-2017-1000399,0
jenkins:2.60.3,GHSA-frgr-c5f2-8qhh,Medium,1,CVE-2023-27900,0
jenkins:2.60.3,GHSA-fq9f-9wv9-rfmg,Medium,1,CVE-2017-1000396,0
jenkins:2.60.3,GHSA-fj6f-6933-839j,Medium,1,CVE-2020-2102,0
jenkins:2.60.3,GHSA-f585-9fw3-rj2m,Medium,1,CVE-2021-21606,0
jenkins:2.60.3,GHSA-cxqw-vjcr-gp5g,Medium,1,CVE-2021-21607,0
jenkins:2.60.3,GHSA-crg2-6xv3-qg5f,Medium,1,CVE-2020-2162,0
jenkins:2.60.3,GHSA-cpw3-x7gf-p872,Medium,1,CVE-2018-1000169,0
jenkins:2.60.3,GHSA-cj6r-8pxj-5jv6,Medium,1,CVE-2023-27902,0
jenkins:2.60.3,GHSA-9qgf-4fpf-cmh2,Medium,1,CVE-2019-10404,0
jenkins:2.60.3,GHSA-9m48-54pj-h248,Medium,1,CVE-2019-10383,0
jenkins:2.60.3,GHSA-9jcv-v4jp-w3cq,Medium,1,CVE-2018-1000170,0
jenkins:2.60.3,GHSA-9grj-j43m-mjqr,Medium,1,CVE-2022-34174,0
jenkins:2.60.3,GHSA-9cjv-93g7-c6mv,Medium,1,CVE-2018-1000864,0
jenkins:2.60.3,GHSA-98gq-6hxg-52r6,Medium,1,CVE-2021-21603,0
jenkins:2.60.3,GHSA-8qpf-fv36-h4r8,Medium,1,CVE-2018-1999044,0
jenkins:2.60.3,GHSA-7qf3-c2q8-69m3,Medium,1,CVE-2021-21610,0
jenkins:2.60.3,GHSA-7cjc-xppr-xj6x,Medium,1,CVE-2019-10403,0
jenkins:2.60.3,GHSA-7592-93rm-6gpx,Medium,1,CVE-2018-1000193,0
jenkins:2.60.3,GHSA-6q4g-84f3-mw74,Medium,1,CVE-2021-21682,0
jenkins:2.60.3,GHSA-6mv9-hcx5-7mhh,Medium,1,CVE-2018-1000067,0
jenkins:2.60.3,GHSA-6jfc-mc97-c7wg,Medium,1,CVE-2019-10354,0
jenkins:2.60.3,GHSA-667q-vj58-rj88,Medium,1,CVE-2018-1999046,0
jenkins:2.60.3,GHSA-6456-xjm5-g3pg,Medium,1,CVE-2018-1999007,0
jenkins:2.60.3,GHSA-5ppx-rgw2-xg23,Medium,1,CVE-2017-1000392,0
